Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.986","MAF_09090","VBIMycAfr123451_0986","PATRIC.572418.5.NC_015758.CDS.1000162.1000314.fwd","PATRIC","CDS",1000162,1000314,153,"+","FIG00692835","PLF_1763_00003246","PGF_02411635","YP_004722607.1",50,,"hypothetical protein",
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.987","MAF_09100","VBIMycAfr123451_0987","PATRIC.572418.5.NC_015758.CDS.1000314.1000841.fwd","PATRIC","CDS",1000314,1000841,528,"+","FIG01334926","PLF_1763_00003200","PGF_08225224","YP_004722608.1",175,,"hypothetical protein",
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.988","MAF_09110","VBIMycAfr123451_0988","PATRIC.572418.5.NC_015758.CDS.1000858.1002198.rev","PATRIC","CDS",1000858,1002198,1341,"-","FIG01405604","PLF_1763_00000138","PGF_00050767","YP_004722609.1",446,"prrB","Sensor-type histidine kinase prrB (EC 2.7.13.3)",
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.989","MAF_09120","VBIMycAfr123451_0989","PATRIC.572418.5.NC_015758.CDS.1002209.1002919.rev","PATRIC","CDS",1002209,1002919,711,"-","FIG01031438","PLF_1763_00374132","PGF_07420062","YP_004722610.1",236,"prrA","Two-component transcriptional response regulator, OmpR family",
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.990","MAF_09130","VBIMycAfr123451_0990","PATRIC.572418.5.NC_015758.CDS.1003050.1004537.rev","PATRIC","CDS",1003050,1004537,1488,"-","FIG01303802","PLF_1763_00001421","PGF_00026289","YP_004722611.1",495,"accD3","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)","GO:0003989|acetyl-CoA carboxylase activity"
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.991","MAF_09140","VBIMycAfr123451_0991","PATRIC.572418.5.NC_015758.CDS.1004564.1005295.fwd","PATRIC","CDS",1004564,1005295,732,"+","FIG00033206","PLF_1763_00001109","PGF_03210551","YP_004722612.1",243,"echA6","Enoyl-CoA hydratase (EC 4.2.1.17)","GO:0004300|enoyl-CoA hydratase activity"
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.992","MAF_09150","VBIMycAfr123451_0992","PATRIC.572418.5.NC_015758.CDS.1005301.1006419.fwd","PATRIC","CDS",1005301,1006419,1119,"+","FIG01371060","PLF_1763_00000156","PGF_05806155","YP_004722613.1",372,,"Outer membrane protein romA",
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.993",,"VBIMycAfr123451_0993","PATRIC.572418.5.NC_015758.CDS.1006479.1008092.fwd","PATRIC","CDS",1006479,1008092,1614,"+","FIG00000747","PLF_1763_00001846","PGF_01785064",,537,,"Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain",
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.104","MAF_00930","VBIMycAfr123451_0104","PATRIC.572418.5.NC_015758.CDS.100806.102956.fwd","PATRIC","CDS",100806,102956,2151,"+","FIG00658111","PLF_1763_00002410","PGF_07109475","YP_004721818.1",716,"ctpA","Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","GO:0004008|copper-exporting ATPase activity"
"Mycobacterium africanum GM041182","572418.5","NC_015758","fig|572418.5.peg.994","MAF_09170","VBIMycAfr123451_0994","PATRIC.572418.5.NC_015758.CDS.1008089.1010482.fwd","PATRIC","CDS",1008089,1010482,2394,"+","FIG01322067","PLF_1763_00001274","PGF_02952136","YP_004722614.1",797,"ctpE","Cation-transporting ATPase, E1-E2 family",
