Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Mycobacterium bovis strain MB3","1765.317","CDHH01000001","fig|1765.317.peg.1","MBO_300001",,"PATRIC.1765.317.CDHH01000001.CDS.2.115.rev","PATRIC","CDS",2,115,114,"-","FIG00018699","PLF_1763_00029676","PGF_00737556",,38,,"hypothetical protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000001","fig|1765.317.peg.2",,,"PATRIC.1765.317.CDHH01000001.CDS.293.370.fwd","PATRIC","CDS",293,370,78,"+",,"PLF_1763_00048004","PGF_08225224",,26,,"hypothetical protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.16",,,"PATRIC.1765.317.CDHH01000002.CDS.11122.12168.fwd","PATRIC","CDS",11122,12168,1047,"+","FIG01351987","PLF_1763_00063207","PGF_10301884",,348,,"patatin-related protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.17",,,"PATRIC.1765.317.CDHH01000002.CDS.12192.13685.rev","PATRIC","CDS",12192,13685,1494,"-","FIG01309728","PLF_1763_00002674","PGF_00423035",,497,,"Wax ester synthase/acyl-CoA:diacylglycerol acyltransferase",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.5","MBO_300003",,"PATRIC.1765.317.CDHH01000002.CDS.1299.2309.rev","PATRIC","CDS",1299,2309,1011,"-","FIG01956208","PLF_1763_00003216","PGF_05783138",,336,,"4-hydroxy-2-oxovalerate aldolase (EC 4.1.3.39)","GO:0008701|4-hydroxy-2-oxovalerate aldolase activity"
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.18",,,"PATRIC.1765.317.CDHH01000002.CDS.13776.14522.rev","PATRIC","CDS",13776,14522,747,"-","FIG01315135","PLF_1763_00091112","PGF_08225224",,248,,"hypothetical protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.19",,,"PATRIC.1765.317.CDHH01000002.CDS.14607.15389.rev","PATRIC","CDS",14607,15389,783,"-","FIG00662487","PLF_1763_00037543","PGF_08225224",,260,,"hypothetical protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.20","MBO_300015",,"PATRIC.1765.317.CDHH01000002.CDS.15433.16095.rev","PATRIC","CDS",15433,16095,663,"-","FIG01268888","PLF_1763_00004176","PGF_00095622",,220,,"Lipoprotein LppP/LprE",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.21","MBO_300016",,"PATRIC.1765.317.CDHH01000002.CDS.16361.17899.fwd","PATRIC","CDS",16361,17899,1539,"+","FIG00025213","PLF_1763_00001461","PGF_07180901",,512,,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.22","MBO_300017",,"PATRIC.1765.317.CDHH01000002.CDS.17905.18849.rev","PATRIC","CDS",17905,18849,945,"-","FIG01311525","PLF_1763_00305579","PGF_12722282",,314,,"Oxidoreductase Rv3485c, short-chain dehydrogenase/reductase family",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.23",,,"PATRIC.1765.317.CDHH01000002.CDS.18846.18965.rev","PATRIC","CDS",18846,18965,120,"-","FIG01409942","PLF_1763_00003805","PGF_02412823",,39,,"hypothetical protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.24","MBO_300018",,"PATRIC.1765.317.CDHH01000002.CDS.19013.19504.fwd","PATRIC","CDS",19013,19504,492,"+","FIG01956215","PLF_1763_00003411","PGF_00423833",,163,,"DoxX family protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.25","MBO_300019",,"PATRIC.1765.317.CDHH01000002.CDS.19457.20440.rev","PATRIC","CDS",19457,20440,984,"-","FIG00016132","PLF_1763_00200291","PGF_00424779",,327,,"Esterase/lipase Rv1076/Rv3487c",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.4","MBO_300002",,"PATRIC.1765.317.CDHH01000002.CDS.201.1295.rev","PATRIC","CDS",201,1295,1095,"-","FIG00022300","PLF_1763_00002688","PGF_01033123",,364,,"UDP-glucose 4-epimerase (EC 5.1.3.2)","GO:0003978|UDP-glucose 4-epimerase activity"
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.26","MBO_300020",,"PATRIC.1765.317.CDHH01000002.CDS.20950.21273.fwd","PATRIC","CDS",20950,21273,324,"+","FIG00002474","PLF_1763_00002745","PGF_01662006",,107,,"Transcriptional regulator, PadR family",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.27",,,"PATRIC.1765.317.CDHH01000002.CDS.21355.21519.fwd","PATRIC","CDS",21355,21519,165,"+","FIG00820753","PLF_1763_00001156","PGF_08225224",,54,,"hypothetical protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.28","MBO_300021",,"PATRIC.1765.317.CDHH01000002.CDS.21519.23021.fwd","PATRIC","CDS",21519,23021,1503,"+","FIG00001100","PLF_1763_00000901","PGF_00061810",,500,,"Trehalose-6-phosphate synthase (EC 2.4.1.15)","GO:0003825|alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.29","MBO_300022",,"PATRIC.1765.317.CDHH01000002.CDS.23173.23751.fwd","PATRIC","CDS",23173,23751,579,"+","FIG00820111","PLF_1763_00020736","PGF_08225224",,192,,"hypothetical protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.6","MBO_300004",,"PATRIC.1765.317.CDHH01000002.CDS.2370.4043.rev","PATRIC","CDS",2370,4043,1674,"-","FIG01401293","PLF_1763_00002554","PGF_02409249",,557,,"Acetohydroxy acid synthase",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.30","MBO_300023",,"PATRIC.1765.317.CDHH01000002.CDS.23748.24230.rev","PATRIC","CDS",23748,24230,483,"-","FIG00820242","PLF_1763_00001437","PGF_00000566",,160,,"FIG00820195: MCE associated membrane protein",
"Mycobacterium bovis strain MB3","1765.317","CDHH01000002","fig|1765.317.peg.31","MBO_300024",,"PATRIC.1765.317.CDHH01000002.CDS.24230.24958.rev","PATRIC","CDS",24230,24958,729,"-","FIG00820054","PLF_1763_00001892","PGF_00000601",,242,,"FIG00821219: MCE associated membrane protein",
