Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1000","Rv0897c","VBIMycTub87468_1000","PATRIC.83332.12.NC_000962.CDS.1000808.1002415.rev","PATRIC","CDS",1000808,1002415,1608,"-","FIG00071345","PLF_1763_00001652","PGF_03272699","NP_215412.1",535,,"Beta-carotene ketolase",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1001","Rv0898c","VBIMycTub87468_1001","PATRIC.83332.12.NC_000962.CDS.1002441.1002704.rev","PATRIC","CDS",1002441,1002704,264,"-","FIG00821892","PLF_1763_00001934","PGF_08225224","NP_215413.1",87,,"hypothetical protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1002","Rv0899","VBIMycTub87468_1002","PATRIC.83332.12.NC_000962.CDS.1002917.1003792.fwd","PATRIC","CDS",1002917,1003792,876,"+","FIG01111221","PLF_1763_00021396","PGF_02407721","NP_215414.1",291,"ompA","Outer membrane low permeability porin, OmpATb family",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1003","Rv0900","VBIMycTub87468_1003","PATRIC.83332.12.NC_000962.CDS.1003805.1003957.fwd","PATRIC","CDS",1003805,1003957,153,"+","FIG00692835","PLF_1763_00003246","PGF_02411635","NP_215415.1",50,,"hypothetical protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1004","Rv0901","VBIMycTub87468_1004","PATRIC.83332.12.NC_000962.CDS.1003957.1004484.fwd","PATRIC","CDS",1003957,1004484,528,"+","FIG01334926","PLF_1763_00003200","PGF_08225224","NP_215416.1",175,,"hypothetical protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1005","Rv0902c","VBIMycTub87468_1005","PATRIC.83332.12.NC_000962.CDS.1004501.1005841.rev","PATRIC","CDS",1004501,1005841,1341,"-","FIG01405604","PLF_1763_00000138","PGF_00050767","NP_215417.1",446,"prrB","Sensor-type histidine kinase prrB (EC 2.7.13.3)",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1006","Rv0903c","VBIMycTub87468_1006","PATRIC.83332.12.NC_000962.CDS.1005852.1006562.rev","PATRIC","CDS",1005852,1006562,711,"-","FIG01031438","PLF_1763_00374132","PGF_07420062","NP_215418.1",236,"prrA","Two-component transcriptional response regulator, OmpR family",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1007","Rv0904c","VBIMycTub87468_1007","PATRIC.83332.12.NC_000962.CDS.1006693.1008180.rev","PATRIC","CDS",1006693,1008180,1488,"-","FIG01303802","PLF_1763_00001421","PGF_00026289","NP_215419.1",495,"accD3","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)","GO:0003989|acetyl-CoA carboxylase activity"
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.105","Rv0092","VBIMycTub87468_0105","PATRIC.83332.12.NC_000962.CDS.100718.102868.fwd","PATRIC","CDS",100718,102868,2151,"+","FIG00658111","PLF_1763_00002410","PGF_07109475","NP_214606.1",716,"ctpA","Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)","GO:0004008|copper-exporting ATPase activity"
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1008","Rv0905","VBIMycTub87468_1008","PATRIC.83332.12.NC_000962.CDS.1008207.1008938.fwd","PATRIC","CDS",1008207,1008938,732,"+","FIG00033206","PLF_1763_00001109","PGF_03210551","NP_215420.1",243,"echA6","Enoyl-CoA hydratase (EC 4.2.1.17)","GO:0004300|enoyl-CoA hydratase activity"
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1009","Rv0906","VBIMycTub87468_1009","PATRIC.83332.12.NC_000962.CDS.1008944.1010062.fwd","PATRIC","CDS",1008944,1010062,1119,"+","FIG01371060","PLF_1763_00000156","PGF_05806155","NP_215421.1",372,,"Outer membrane protein romA",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1010",,"VBIMycTub87468_1010","PATRIC.83332.12.NC_000962.CDS.1010047.1010346.fwd","PATRIC","CDS",1010047,1010346,300,"+","FIG00000747","PLF_1763_00096882","PGF_02444349",,99,,"hypothetical protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1011","Rv0907","VBIMycTub87468_1011","PATRIC.83332.12.NC_000962.CDS.1010313.1011734.fwd","PATRIC","CDS",1010313,1011734,1422,"+","FIG00000747","PLF_1763_00001846","PGF_01785064","NP_215422.1",473,,"Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1012","Rv0908","VBIMycTub87468_1012","PATRIC.83332.12.NC_000962.CDS.1011731.1014124.fwd","PATRIC","CDS",1011731,1014124,2394,"+","FIG01322067","PLF_1763_00001274","PGF_02952136","NP_215423.1",797,"ctpE","Cation-transporting ATPase, E1-E2 family",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1013",,"VBIMycTub87468_1013","PATRIC.83332.12.NC_000962.CDS.1014400.1014555.fwd","PATRIC","CDS",1014400,1014555,156,"+","FIG00820575","PLF_1763_00003435","PGF_02412494",,51,,"hypothetical protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1014","Rv0909","VBIMycTub87468_1014","PATRIC.83332.12.NC_000962.CDS.1014681.1014860.fwd","PATRIC","CDS",1014681,1014860,180,"+","FIG00821392","PLF_1763_00175027","PGF_02525069","NP_215424.1",59,,"Uncharacterized protein MSMEG_5635",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1015","Rv0910","VBIMycTub87468_1015","PATRIC.83332.12.NC_000962.CDS.1014866.1015300.fwd","PATRIC","CDS",1014866,1015300,435,"+","FIG00820675","PLF_1763_00011206","PGF_08225224","NP_215425.1",144,,"hypothetical protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1016","Rv0911","VBIMycTub87468_1016","PATRIC.83332.12.NC_000962.CDS.1015398.1016171.fwd","PATRIC","CDS",1015398,1016171,774,"+","FIG01326450","PLF_1763_00150744","PGF_08073198","NP_215426.1",257,,"Putative hydroxylase",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1017","Rv0912","VBIMycTub87468_1017","PATRIC.83332.12.NC_000962.CDS.1016266.1016685.fwd","PATRIC","CDS",1016266,1016685,420,"+","FIG00662132","PLF_1763_00002354","PGF_02937204","NP_215427.1",139,,"putative membrane protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1018",,"VBIMycTub87468_1018","PATRIC.83332.12.NC_000962.CDS.1016820.1017050.rev","PATRIC","CDS",1016820,1017050,231,"-","FIG01388643","PLF_1763_00003405","PGF_02412477",,76,,"hypothetical protein",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1019","Rv0913c","VBIMycTub87468_1019","PATRIC.83332.12.NC_000962.CDS.1017217.1018725.rev","PATRIC","CDS",1017217,1018725,1509,"-","FIG01358959","PLF_1763_00002206","PGF_00016956","NP_215428.1",502,,"Lignostilbene-alpha,beta-dioxygenase and related enzymes",
"Mycobacterium tuberculosis H37Rv","83332.12","NC_000962","fig|83332.12.peg.1020","Rv0914c","VBIMycTub87468_1020","PATRIC.83332.12.NC_000962.CDS.1018727.1019965.rev","PATRIC","CDS",1018727,1019965,1239,"-","FIG01279374","PLF_1763_00001411","PGF_00419687","NP_215429.1",412,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16)","GO:0003988|acetyl-CoA C-acyltransferase activity"
