Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.362","Mb0332","VBIMycBov88188_0362",,,,"Transcriptional regulator, ArsR family => implicated in bedaquiline tolerance",,"regulator modulating expression of antibiotic resistance genes","27573104",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.2949","Mb2690","VBIMycBov88188_2949",,,"ribD","Dihydrofolate reductase analogue (EC 1.5.1.3) => conferring resistance to para-aminosalicylic acid (PAS)",,"antibiotic target replacement protein","26848874",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.4255","Mb3884c","VBIMycBov88188_4255",,,"ethA","Monooxygenase EthA, implicated in activation of thiocarbamide-containing pro-drugs",,"antibiotic activation enzyme","10869356;14638486",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.3601","Mb3274c","VBIMycBov88188_3601",,,"mtrA","Two component system response regulator MtrA",,"regulator modulating expression of antibiotic resistance genes","20233304",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.747","Mb0687","VBIMycBov88188_0747",,,"rpoC","DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)",,"antibiotic target in susceptible species","16723576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.1477","Mb1348","VBIMycBov88188_1477",,,"murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",,"antibiotic target in susceptible species","8994972",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.786","Mb0720","VBIMycBov88188_0786",,,"rpsJ","SSU ribosomal protein S10p (S20e)",,"antibiotic target in susceptible species","26124155",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.3052","Mb2785c","VBIMycBov88188_3052",,,"dfrA","Dihydrofolate reductase (EC 1.5.1.3)",,"antibiotic target in susceptible species","20169085;25288078",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.4328","Mb3950c","VBIMycBov88188_4328",,,"gidB","16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)",,"gene conferring resistance via absence","17238915",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.746","Mb0686","VBIMycBov88188_0746",,,"rpoB","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",,"antibiotic target in susceptible species","3050121;15047531;16723576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.295","Mb0268c","VBIMycBov88188_0295",,,"aac","Aminoglycoside 2'-N-acetyltransferase (EC 2.3.1.59) => AAC(2')-I",,"antibiotic inactivation enzyme","8407825;8891143;9159528",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Mycobacterium bovis AF2122/97","fig|233413.5.peg.758","Mb0696c","VBIMycBov88188_0758",,,"mmpS5","Membrane protein MmpS5",,"efflux pump conferring antibiotic resistance","25986884;18851927",,,,
