Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.1551","STY1542","VBISalEnt120419_1551",,,"marB","Multiple antibiotic resistance protein MarB",,"antibiotic resistance gene cluster, cassette, or operon","8383113;9068629",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.243","STY0243","VBISalEnt120419_0243",,,"dxr","1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)",,"antibiotic target in susceptible species","16321944",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.907","STY0898","VBISalEnt120419_0907",,,"ybjG","Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance",,"antibiotic target protection protein","12486040;15778224;15946938",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.2165","STY2153","VBISalEnt120419_2165",,,"pgsA","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)",,"protein altering cell wall charge conferring antibiotic resistance","22238576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.1238","STY1236","VBISalEnt120419_1238",,,"fabF","3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)",,"antibiotic target in susceptible species","10428945",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.4594","STY4491","VBISalEnt120419_4594",,,"pmrA","Two-component transcriptional regulatory protein BasR/PmrA (activated by BasS/PmrB)",,"regulator modulating expression of antibiotic resistance genes","8282725;25150146;20653976",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.4595","STY4492","VBISalEnt120419_4595",,,,"Lipid A phosphoethanolamine transferase EptA/PmrC (EC 2.7.8.43)",,"protein altering cell wall charge conferring antibiotic resistance","17362200;23810904;15205413",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.1455","STY1445","VBISalEnt120419_1455",,,"aac","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ic,f,g,h,j,k,l,r-z",,"antibiotic inactivation enzyme","11158753;15155202;1354954;2069376;8257129;7810994;8001769;7793874;10188279;10542165;10508008",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.4453","STY4357","VBISalEnt120419_4453",,,"rpsJ","SSU ribosomal protein S10p (S20e)",,"antibiotic target in susceptible species","26124155",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.522","STY0520","VBISalEnt120419_0522",,,"acrA","Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA",,"efflux pump conferring antibiotic resistance","7651136",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.379",,"VBISalEnt120419_0379",,,,"Multidrug efflux system, outer membrane factor lipoprotein of OprM/OprM family",,"efflux pump conferring antibiotic resistance",,,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.5257","HCM1.241c","VBISalEnt120419_5257",,,"tetA","Tetracycline resistance, MFS efflux pump => Tet(B)",,"efflux pump conferring antibiotic resistance","12435724",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.2557","STY2526","VBISalEnt120419_2557",,,"ais","Lipopolysaccharide core heptose(II)-phosphate phosphatase @ Polymyxin resistance protein PmrG",,"protein altering cell wall charge conferring antibiotic resistance","17574312;9570402",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.2562","STY2531","VBISalEnt120419_2562",,,"arnT","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) @ Polymyxin resistance protein PmrK",,"protein altering cell wall charge conferring antibiotic resistance","11535604;16226890",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.2559","STY2528","VBISalEnt120419_2559",,,"pmrF","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53)",,"protein altering cell wall charge conferring antibiotic resistance","11706007;15695810;9570402",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.5242","HCM1.224","VBISalEnt120419_5242",,,"strB","Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id",,"antibiotic inactivation enzyme","3889831;15722395",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.3985","STY3905","VBISalEnt120419_3985",,,"gidB","16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)",,"gene conferring resistance via absence","17238915",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.908","STY0899","VBISalEnt120419_0908",,,"mdfA","Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum",,"efflux pump conferring antibiotic resistance","9079913",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.2757","STY2719","VBISalEnt120419_2757",,,"acrD","Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)",,"efflux pump conferring antibiotic resistance","10692383",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Salmonella enterica subsp. enterica serovar Typhi str. CT18","fig|220341.7.peg.946","STY0937","VBISalEnt120419_0946",,,"ybjY","Macrolide-specific efflux protein MacA",,"efflux pump conferring antibiotic resistance","11544226",,,,
