Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3493","KPHS_35860","VBIKlePne218548_3493",,,,"Multidrug efflux system MdtABC-TolC, membrane fusion component MdtA",,"efflux pump conferring antibiotic resistance","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3117","KPHS_31980","VBIKlePne218548_3117",,,,"DNA-binding protein H-NS",,"regulator modulating expression of antibiotic resistance genes","14973023",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.199","KPHS_02020","VBIKlePne218548_0199",,,,"DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)",,"antibiotic target in susceptible species","16723576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.1742","KPHS_17890","VBIKlePne218548_1742",,,,"Macrolide-specific efflux protein MacA",,"efflux pump conferring antibiotic resistance","11544226",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3989","KPHS_40870","VBIKlePne218548_3989",,,,"Multidrug resistance regulator EmrR (MprA)",,"regulator modulating expression of antibiotic resistance genes","7730261",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.4757","KPHS_48700","VBIKlePne218548_4757",,,,"SSU ribosomal protein S10p (S20e)",,"antibiotic target in susceptible species","26124155",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.4468","KPHS_45760","VBIKlePne218548_4468",,,,"Outer membrane channel TolC (OpmH)",,"efflux pump conferring antibiotic resistance","6219270",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.5477","KPHS_p300860","VBIKlePne218548_5477",,,,"Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id",,"antibiotic inactivation enzyme","3889831;15722395",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.711","KPHS_07310","VBIKlePne218548_0711",,,,"Isoleucyl-tRNA synthetase (EC 6.1.1.5)",,"antibiotic target in susceptible species","7929087",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.1154","KPHS_11890","VBIKlePne218548_1154",,,,"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA",,"efflux pump conferring antibiotic resistance","7651136",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3341","KPHS_34310","VBIKlePne218548_3341",,,,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)",,"protein altering cell wall charge conferring antibiotic resistance","22238576",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3495","KPHS_35880","VBIKlePne218548_3495",,,,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)",,"efflux pump conferring antibiotic resistance","12107134",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3992","KPHS_40900","VBIKlePne218548_3992",,,,"Multidrug efflux system EmrAB-OMF, inner-membrane proton/drug antiporter EmrB (MFS type)",,"efflux pump conferring antibiotic resistance","1409590",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.5465","KPHS_p300630","VBIKlePne218548_5465",,,,"Tetracycline resistance, MFS efflux pump => Tet(G)",,"efflux pump conferring antibiotic resistance","10543801",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3991","KPHS_40890","VBIKlePne218548_3991",,,,"Multidrug efflux system EmrAB-OMF, membrane fusion component EmrA",,"efflux pump conferring antibiotic resistance","1409590",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.1664","KPHS_17080","VBIKlePne218548_1664",,,,"Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27), conveys bacitracin resistance",,"antibiotic target protection protein","12486040;15778224;15946938",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.4615","KPHS_47260","VBIKlePne218548_4615",,,,"Dihydropteroate synthase (EC 2.5.1.15)",,"antibiotic target in susceptible species","15673783",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.5459","KPHS_p300540","VBIKlePne218548_5459",,,,"Class A beta-lactamase (EC 3.5.2.6) => TEM family",,"antibiotic inactivation enzyme","11585791",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3587","KPHS_36810","VBIKlePne218548_3587",,,,"Multidrug resistance transporter => Bicyclomycin resistance protein Bcr-1",,"efflux pump conferring antibiotic resistance","8486276;16181146",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","Klebsiella pneumoniae subsp. pneumoniae HS11286","fig|1125630.4.peg.3440","KPHS_35310","VBIKlePne218548_3440",,,,"Translation elongation factor G",,"antibiotic target in susceptible species","17980694;19289529;19289529;17325218;19289529",,,,
